country,Year,DCI
Belgium,1816,NA
Belgium,1817,NA
Belgium,1818,NA
Belgium,1819,NA
Belgium,1820,NA
Belgium,1821,NA
Belgium,1822,NA
Belgium,1823,NA
Belgium,1824,NA
Belgium,1825,NA
Belgium,1826,NA
Belgium,1827,NA
Belgium,1828,NA
Belgium,1829,NA
Belgium,1830,0.862726359
Belgium,1831,0.85190115
Belgium,1832,0.839378743
Belgium,1833,0.823962473
Belgium,1834,0.805108301
Belgium,1835,0.8049239
Belgium,1836,0.804404706
Belgium,1837,0.836653264
Belgium,1838,0.839206229
Belgium,1839,0.846913049
Belgium,1840,0.838185481
Belgium,1841,0.829981742
Belgium,1842,0.819453231
Belgium,1843,0.809790189
Belgium,1844,0.809116186
Belgium,1845,0.808495328
Belgium,1846,0.807925963
Belgium,1847,0.807911058
Belgium,1848,0.809949635
Belgium,1849,0.81191806
Belgium,1850,0.813452265
Belgium,1851,0.814914247
Belgium,1852,0.816379891
Belgium,1853,0.817936783
Belgium,1854,0.819399953
Belgium,1855,0.821013628
Belgium,1856,0.822131018
Belgium,1857,0.821440795
Belgium,1858,0.820787113
Belgium,1859,0.820112952
Belgium,1860,0.81926763
Belgium,1861,0.818584051
Belgium,1862,0.817841558
Belgium,1863,0.817095487
Belgium,1864,0.81647687
Belgium,1865,0.81590385
Belgium,1866,0.817962389
Belgium,1867,0.817029352
Belgium,1868,0.816189629
Belgium,1869,0.815426481
Belgium,1870,0.814572276
Belgium,1871,0.814244274
Belgium,1872,0.813482206
Belgium,1873,0.812510488
Belgium,1874,0.811507514
Belgium,1875,0.816158195
Belgium,1876,0.82203363
Belgium,1877,0.821107562
Belgium,1878,0.820349301
Belgium,1879,0.81964763
Belgium,1880,0.819845545
Belgium,1881,0.819081054
Belgium,1882,0.81829284
Belgium,1883,0.815904348
Belgium,1884,0.818445522
Belgium,1885,0.816091004
Belgium,1886,0.813832144
Belgium,1887,0.813137026
Belgium,1888,0.817366513
Belgium,1889,0.816693788
Belgium,1890,0.812147001
Belgium,1891,0.817791743
Belgium,1892,0.820158567
Belgium,1893,0.813400828
Belgium,1894,0.812598078
Belgium,1895,0.811914991
Belgium,1896,0.812645752
Belgium,1897,0.813296271
Belgium,1898,0.809424259
Belgium,1899,0.811804372
Belgium,1900,0.815240595
Belgium,1901,0.809771048
Belgium,1902,0.81041559
Belgium,1903,0.804954778
Belgium,1904,0.800885126
Belgium,1905,0.800139058
Belgium,1906,0.799471227
Belgium,1907,0.798803196
Belgium,1908,0.801498994
Belgium,1909,0.800950868
Belgium,1910,0.804306822
Belgium,1911,0.802215443
Belgium,1912,0.801552906
Belgium,1913,0.802545145
Belgium,1914,0.866158416
Belgium,1915,0.888264692
Belgium,1916,0.902463657
Belgium,1917,0.904825593
Belgium,1918,0.911067795
Belgium,1919,0.911919321
Belgium,1920,0.890991843
Belgium,1921,0.857672303
Belgium,1922,0.868676919
Belgium,1923,0.877481059
Belgium,1924,0.841394389
Belgium,1925,0.84033179
Belgium,1926,0.840702032
Belgium,1927,0.823496939
Belgium,1928,0.821821861
Belgium,1929,0.82358779
Belgium,1930,0.8254843
Belgium,1931,0.821724653
Belgium,1932,0.8224071
Belgium,1933,0.821045153
Belgium,1934,0.82300714
Belgium,1935,0.822825586
Belgium,1936,0.821513587
Belgium,1937,0.826526268
Belgium,1938,0.84256552
Belgium,1939,0.838338634
Belgium,1940,0.836494667
Belgium,1941,NA
Belgium,1942,NA
Belgium,1943,NA
Belgium,1944,NA
Belgium,1945,0.834322603
Belgium,1946,0.833066078
Belgium,1947,0.828368316
Belgium,1948,0.824054713
Belgium,1949,0.822609095
Belgium,1950,0.826462243
Belgium,1951,0.829063733
Belgium,1952,0.832361729
Belgium,1953,0.836359051
Belgium,1954,0.840160181
Belgium,1955,0.842157829
Belgium,1956,0.844774719
