Conflict_Name,Type_of_Society,Time_Type,Area,Year_Start,Year_End,Mid_Point,Total_Combatants_W,Casualties_C,LN_W,LN_C,C_W,Y,Y_from_Reg
Achaelous,State,Historical,West Asia/Europe,917,917,917,122000,61000,11.71177632,11.01862914,0.5,1.215657179,1.17
Adys,State,Historical,Europe/North Africa,-255,-255,-255,21000,4500,9.952277717,8.411832676,0.214285714,1.168647905,1.17
Agrigentum,State,Historical,Europe/North Africa,-262,-262,-262,90000,4200,11.40756495,8.342839804,0.046666667,1.013513022,1.17
Ajnadayn,State,Historical,West Asia,634,634,634,40000,20000,10.59663473,9.903487553,0.5,1.238351959,1.17
Al-Qaddissiyah,State,Historical,West Asia,636,636,636,110000,30500,11.60823564,10.32548196,0.277272727,1.166788666,1.17
Algerian Civil War (1991  - 2002),State,Contemporary,North Africa,1991,2002,1996.5,180000,200000,12.10071213,12.20607265,1.111111111,1.274714108,1.17
Algerian War of Independence (1954  - 1962),State,Contemporary,North Africa,1954,1962,1958,903000,925000,13.71347783,13.73754902,1.024363234,1.236478817,1.17
Altai Mountains,State,Historical,East Asia,89,89,89,297000,14000,12.60148742,9.546812609,0.047138047,1.013030288,1.17
American Civil War (1861  - 1865),State,Historical,North America,1861,1865,1863,3050000,800000,14.93065215,13.59236701,0.262295082,1.125955026,1.17
Amphipolis,State,Historical,Europe,-422,-422,-422,4500,608,8.411832676,6.410174882,0.135111111,1.144703072,1.17
An Lushan Rebellion,State,Historical,East Asia,755,763,759,900000,24500000,13.71015004,17.01418368,27.22222222,1.475772288,1.17
Aquae Sextiae,State,Historical,Europe,-102,-102,-102,160000,91000,11.98292909,11.41861479,0.56875,1.221528601,1.17
Arcadiopolis,State,Historical,West Asia,970,970,970,41000,5050,10.62132735,8.527143522,0.123170732,1.105889967,1.17
Asculum ,State,Historical,Europe,-279,-279,-279,156000,9500,11.95761129,9.159047078,0.060897436,1.035150132,1.17
Assiniboin,Small Scale,Ethnographic,North America,1849,1849,1849,52,52,3.951243719,3.951243719,1,1.814648767,1.17
Badr,State,Historical ,West Asia,624,624,624,1605,84,7.380879036,4.430816799,0.052336449,1.036420267,1.17
Baecula,State,Historical ,Europe/North Africa,208,208,208,60000,8000,11.00209984,8.987196821,0.133333333,1.109431183,1.17
Bagradas,State,Historical,Europe/North Africa,-255,-255,-255,29500,12800,10.29214554,9.45720045,0.433898305,1.231626217,1.17
Bai ju ,State,Historical,East Asia,-506,-506,-506,283000,200000,12.55320218,12.20607265,0.706713781,1.228766035,1.17
Bangladesh Liberation War (1971),State,Contemporary,South Asia,1971,1971,1971,1065000,2000000,13.87848536,14.50865774,1.877934272,1.277339213,1.17
Battle of Agincourt,State,Historical,Europe,1415,1415,1415,28500,10600,10.25765937,9.26860928,0.371929825,1.217381535,1.17
Battle of Alc‰ntara,State,Historical,Europe,1580,1580,1580,23300,4500,10.05620864,8.411832676,0.193133047,1.156569928,1.17
Battle of Alfarrobeira,State,Historical,Europe,1449,1449,1449,36000,4500,10.49127422,8.411832676,0.125,1.108607807,1.17
Battle of Aljubarrota,State,Historical,Europe,1385,1385,1385,37600,5800,10.53475933,8.665613197,0.154255319,1.12812155,1.17
Battle of Almansa,State,Historical,Europe,1707,1707,1707,47000,9000,10.75790288,9.104979856,0.191489362,1.145563017,1.17
Battle of Ancrum Moor,State,Historical,Europe,1545,1545,1545,7700,805,8.948975608,6.690842277,0.104545455,1.107357818,1.17
Battle of Ankara,State,Historical,West Asia/Central Asia,1402,1402,1402,225000,80000,12.32385568,11.28978191,0.355555556,1.177282347,1.17
Battle of Arbedo,State,Historical,Europe,1422,1422,1422,18500,1500,9.825526011,7.313220387,0.081081081,1.071911692,1.17
Battle of Aughrim,State,Historical,Europe,1691,1691,1691,38000,7000,10.54534144,8.853665428,0.184210526,1.144822225,1.17
Battle of Aussig,State,Historical,Europe,1426,1426,1426,14000,4030,9.546812609,8.301521655,0.287857143,1.206727099,1.17
Battle of Axtoma,State,Historical,Europe,1565,1565,1565,18100,2300,9.803667217,7.740664402,0.127071823,1.117902106,1.17
Battle of Baia,State,Historical,Europe,1467,1467,1467,29500,14000,10.29214554,9.546812609,0.474576271,1.240333066,1.17
Battle of Bannockburn,State,Historical,Europe,1314,1314,1314,27500,10400,10.22194128,9.249561085,0.378181818,1.219771917,1.17
Battle of Barnet,State,Historical,Europe,1471,1471,1471,28250,1500,10.24884874,7.313220387,0.053097345,1.027637004,1.17
Battle of Bauge,State,Historical,Europe,1421,1421,1421,9000,1300,9.104979856,7.170119543,0.144444444,1.141023432,1.17
Battle of Benburb,State,Historical,Europe,1646,1646,1646,11000,2800,9.305650552,7.937374696,0.254545455,1.198868414,1.17
Battle of Berestechko,State,Historical,Europe,1651,1651,1651,210000,31000,12.25486281,10.34174248,0.147619048,1.106549989,1.17
